,Model,Activity,Age,Weight_kg,Height_m,Muscle_Name,Value
0,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,time,0.00000000
1,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,Ps_L1_VB_r,3.72527614
2,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,Ps_L1_TP_r,1.07427748
3,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,Ps_L1_L2_IVD_r,1.84910741
4,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,Ps_L2_TP_r,3.24277027
5,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,Ps_L2_L3_IVD_r,1.81515624
6,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,Ps_L3_TP_r,1.52655859
7,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,Ps_L3_L4_IVD_r,0.48008475
8,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,Ps_L4_TP_r,2.14997085
9,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,Ps_L4_L5_IVD_r,1.05172297
10,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,Ps_L5_TP_r,2.30120457
11,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,Ps_L5_VB_r,2.87690467
12,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,Ps_L1_VB_l,3.74082479
