sex,age_group,model_file,thoracic1_x_norm,thoracic1_y_norm,thoracic1_z_norm,thoracic2_x_norm,thoracic2_y_norm,thoracic2_z_norm,thoracic3_x_norm,thoracic3_y_norm,thoracic3_z_norm,thoracic4_x_norm,thoracic4_y_norm,thoracic4_z_norm,thoracic5_x_norm,thoracic5_y_norm,thoracic5_z_norm,thoracic6_x_norm,thoracic6_y_norm,thoracic6_z_norm,thoracic7_x_norm,thoracic7_y_norm,thoracic7_z_norm,thoracic8_x_norm,thoracic8_y_norm,thoracic8_z_norm,thoracic9_x_norm,thoracic9_y_norm,thoracic9_z_norm,thoracic10_x_norm,thoracic10_y_norm,thoracic10_z_norm,thoracic11_x_norm,thoracic11_y_norm,thoracic11_z_norm,thoracic12_x_norm,thoracic12_y_norm,thoracic12_z_norm,lumbar1_x_norm,lumbar1_y_norm,lumbar1_z_norm,lumbar2_x_norm,lumbar2_y_norm,lumbar2_z_norm,lumbar3_x_norm,lumbar3_y_norm,lumbar3_z_norm,lumbar4_x_norm,lumbar4_y_norm,lumbar4_z_norm,lumbar5_x_norm,lumbar5_y_norm,lumbar5_z_norm
Female,Age4049,116_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.0,1.0,0.0,-0.023732,0.960901,0.0,-0.047456,0.916758,0.0,-0.070144,0.86641,0.0,-0.081257,0.819222,0.0,-0.086604,0.768219,0.0,-0.082788,0.715368,0.0,-0.078975,0.660826,0.0,-0.072269,0.605975,0.0,-0.061138,0.546097,0.0,-0.042485,0.481398,0.0,-0.023477,0.411321,0.0,0.001223,0.333694,0.0,0.031002,0.255506,0.0,0.042126,0.164933,0.0,0.034892,0.08221,0.0,0.0,0.0,0.0
Female,Age4049,132_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.0,1.0,0.0,-0.013374,0.958737,0.0,-0.025643,0.912823,0.0,-0.035601,0.861407,0.0,-0.033096,0.812532,0.0,-0.029101,0.762623,0.0,-0.01888,0.711606,0.0,-0.010335,0.656794,0.0,0.001615,0.600217,0.0,0.009765,0.54105,0.0,0.025702,0.476226,0.0,0.035865,0.406299,0.0,0.039013,0.324485,0.0,0.032969,0.238516,0.0,0.042013,0.155871,0.0,0.034118,0.077518,0.0,0.0,0.0,0.0
Female,Age4049,135_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.0,1.0,0.0,-0.016818,0.962127,0.0,-0.033045,0.919721,0.0,-0.047629,0.871858,0.0,-0.05411,0.824678,0.0,-0.055403,0.775093,0.0,-0.053209,0.720808,0.0,-0.046785,0.664976,0.0,-0.03982,0.606439,0.0,-0.029808,0.54188,0.0,-0.009322,0.476372,0.0,0.009577,0.404297,0.0,0.030812,0.326008,0.0,0.039239,0.238744,0.0,0.045752,0.147289,0.0,0.035376,0.072773,0.0,0.0,0.0,0.0
Female,Age4049,186_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.0,1.0,0.0,-0.015686,0.957536,0.0,-0.030412,0.910173,0.0,-0.04296,0.856978,0.0,-0.045272,0.806872,0.0,-0.04039,0.754945,0.0,-0.036178,0.702286,0.0,-0.029046,0.64848,0.0,-0.026985,0.591252,0.0,-0.026787,0.529043,0.0,-0.026005,0.46378,0.0,-0.019032,0.394973,0.0,-0.004796,0.323248,0.0,0.019004,0.245985,0.0,0.033201,0.165177,0.0,0.030283,0.083043,0.0,0.0,0.0,0.0
Female,Age4049,212_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,-0.0,1.0,0.0,-0.017424,0.958751,0.0,-0.034124,0.91262,0.0,-0.048935,0.860623,0.0,-0.058939,0.811123,0.0,-0.05864,0.760582,0.0,-0.056913,0.707129,0.0,-0.04986,0.653369,0.0,-0.037561,0.599796,0.0,-0.023019,0.541657,0.0,-0.00903,0.47808,0.0,0.004398,0.408024,0.0,0.018333,0.330966,0.0,0.031308,0.24914,0.0,0.04179,0.16133,0.0,0.034433,0.080368,0.0,0.0,0.0,0.0
Female,Age4049,256_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.0,1.0,0.0,-0.018288,0.959777,0.0,-0.035989,0.914718,0.0,-0.051985,0.863825,0.0,-0.058757,0.813801,0.0,-0.058864,0.7626,0.0,-0.055569,0.710959,0.0,-0.048405,0.657298,0.0,-0.040468,0.600325,0.0,-0.029183,0.538971,0.0,-0.016851,0.472819,0.0,-0.001309,0.40164,0.0,0.012946,0.323797,0.0,0.023674,0.242129,0.0,0.0361,0.160434,0.0,0.031411,0.080355,0.0,0.0,0.0,0.0
Female,Age4049,260_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.0,1.0,0.0,-0.018882,0.96434,0.0,-0.037496,0.924241,0.0,-0.054879,0.878728,0.0,-0.065632,0.82863,0.0,-0.067267,0.774553,0.0,-0.067786,0.720394,0.0,-0.063588,0.66316,0.0,-0.059067,0.603861,0.0,-0.049844,0.539852,0.0,-0.03089,0.470445,0.0,-0.005359,0.397703,0.0,0.018298,0.318668,0.0,0.03056,0.23345,0.0,0.03981,0.1448,0.0,0.032099,0.071952,0.0,0.0,0.0,0.0
Female,Age4049,263_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.0,1.0,0.0,-0.01224,0.95778,0.0,-0.023213,0.910882,0.0,-0.031669,0.858484,0.0,-0.034838,0.809837,0.0,-0.037207,0.758541,0.0,-0.033109,0.703253,0.0,-0.028556,0.648324,0.0,-0.024211,0.589208,0.0,-0.021402,0.527477,0.0,-0.012519,0.462238,0.0,-0.001879,0.393953,0.0,0.017242,0.319684,0.0,0.032348,0.242212,0.0,0.041908,0.158149,0.0,0.034243,0.078709,0.0,0.0,0.0,0.0
Female,Age4049,322_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.0,1.0,0.0,-0.017767,0.956484,0.0,-0.034713,0.907852,0.0,-0.049603,0.853088,0.0,-0.050868,0.804278,0.0,-0.049091,0.75363,0.0,-0.048054,0.702079,0.0,-0.039844,0.649864,0.0,-0.034028,0.59592,0.0,-0.019098,0.538885,0.0,-0.005555,0.476735,0.0,0.006386,0.406988,0.0,0.023635,0.332314,0.0,0.036834,0.249699,0.0,0.04563,0.168885,0.0,0.037023,0.083985,0.0,0.0,0.0,0.0
Female,Age4049,332_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,-0.0,1.0,0.0,-0.015775,0.960942,0.0,-0.030793,0.917302,0.0,-0.043949,0.868172,0.0,-0.053899,0.814354,0.0,-0.061492,0.762012,0.0,-0.059888,0.703855,0.0,-0.058308,0.645719,0.0,-0.054252,0.586483,0.0,-0.047654,0.525454,0.0,-0.036207,0.460642,0.0,-0.018679,0.392048,0.0,0.004063,0.322655,0.0,0.024853,0.239261,0.0,0.036721,0.152416,0.0,0.0311,0.076146,0.0,0.0,0.0,0.0
