Directory,Filename,spine_height,trunk_mass,sex,Min Age (year),Max Age (year),height (m),weight (kg)
.\Female\Age4049,116_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.39599789,44.0205768,female,40,49,1.572711134,73.35553995
.\Female\Age4049,132_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.414110134,52.82469216,female,40,49,1.644644163,88.02664794
.\Female\Age4049,135_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.380191061,34.41608732,female,40,49,1.509934091,57.35069487
.\Female\Age4049,186_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.431922548,40.55228893,female,40,49,1.715386414,67.57601256
.\Female\Age4049,212_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.420267237,38.41795793,female,40,49,1.669097181,64.01938032
.\Female\Age4049,256_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.397541153,33.34892182,female,40,49,1.578840223,55.57237875
.\Female\Age4049,260_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.388119827,29.61384257,female,40,49,1.541423296,49.34827233
.\Female\Age4049,263_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.427996228,42.68661993,female,40,49,1.699792976,71.1326448
.\Female\Age4049,322_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.443920006,53.62506628,female,40,49,1.763034483,89.36038503
.\Female\Age4049,332_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.387883488,45.62132505,female,40,49,1.540484671,76.02301413
.\Female\Age4049,354_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.407520776,30.4142167,female,40,49,1.618474435,50.68200942
.\Female\Age4049,374_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.429858016,39.75191481,female,40,49,1.707187095,66.24227547
.\Female\Age4049,391_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.399855633,69.36575738,female,40,49,1.588032214,115.5905478
.\Female\Age4049,467_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.428247861,38.15116656,female,40,49,1.700792341,63.57480129
.\Female\Age4049,469_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.402840509,39.21833206,female,40,49,1.599886689,65.35311741
.\Female\Age4049,531_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.408789829,34.94967007,female,40,49,1.623514498,58.23985293
.\Female\Age4049,572_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.393812727,30.4142167,female,40,49,1.564032728,50.68200942
.\Female\Age4049,654_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.410547213,52.29110941,female,40,49,1.630493971,87.13748988
.\Female\Age4049,670_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.398627473,39.48512343,female,40,49,1.583154556,65.79769644
.\Female\Age4049,679_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.436513855,34.68287869,female,40,49,1.733620851,57.7952739
.\Female\Age4049,754_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.409123444,32.54854769,female,40,49,1.624839455,54.23864166
.\Female\Age4049,803_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.390151578,34.41608732,female,40,49,1.549492421,57.35069487
.\Female\Age4049,827_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.384337852,46.68849054,female,40,49,1.526403131,77.80133025
.\Female\Age4049,842_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.424173185,36.28362694,female,40,49,1.68460971,60.46274808
.\Female\Age4049,902_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.377715972,27.74630295,female,40,49,1.50010424,46.23621912
.\Female\Age5059,155_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.409120339,48.28923879,female,50,59,1.624827122,80.46880443
.\Female\Age5059,169_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.454889176,43.22020268,female,50,59,1.806598695,72.02180286
.\Female\Age5059,238_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.452828317,42.15303718,female,50,59,1.798413965,70.24348674
.\Female\Age5059,274_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.386975954,32.01496495,female,50,59,1.53688039,53.3494836
.\Female\Age5059,313_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.413876172,42.9534113,female,50,59,1.643714977,71.57722383
.\Female\Age5059,338_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.43118445,70.43292288,female,50,59,1.712455044,117.3688639
.\Female\Age5059,373_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.403652445,37.35079244,female,50,59,1.603111304,62.2410642
.\Female\Age5059,387_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.397659923,33.88250457,female,50,59,1.579311922,56.46153681
.\Female\Age5059,388_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.393478169,50.69036116,female,50,59,1.562704025,84.4700157
.\Female\Age5059,397_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.36566086,39.75191481,female,50,59,1.452227194,66.24227547
.\Female\Age5059,400_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.388708442,30.94779945,female,50,59,1.543760987,51.57116748
.\Female\Age5059,407_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.425887853,36.01683556,female,50,59,1.691419537,60.01816905
.\Female\Age5059,415_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.390487635,37.61758381,female,50,59,1.550827077,62.68564323
.\Female\Age5059,464_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.405384718,46.1549078,female,50,59,1.609991053,76.91217219
.\Female\Age5059,473_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.383752569,53.09148353,female,50,59,1.524078672,88.47122697
.\Female\Age5059,489_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.394809001,36.01683556,female,50,59,1.567989445,60.01816905
.\Female\Age5059,512_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.403637834,53.09148353,female,50,59,1.603053276,88.47122697
.\Female\Age5059,521_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.43251461,36.81720969,female,50,59,1.717737794,61.35190614
.\Female\Age5059,563_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.417032161,42.68661993,female,50,59,1.656249033,71.1326448
.\Female\Age5059,594_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.422614876,61.62880752,female,50,59,1.678420862,102.6977559
.\Female\Age5059,650_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.434206821,38.41795793,female,50,59,1.724458432,64.01938032
